"RowID","StudyArea","CountDate","AgeSex","Count"
323,"A","23/10/1984, 00.00.00","AM",2
324,"A","23/10/1984, 00.00.00","AF",2
325,"A","23/10/1984, 00.00.00","JM",2
326,"A","23/10/1984, 00.00.00","BB",5
327,"A","26/10/1984, 00.00.00","AM",1
328,"A","26/10/1984, 00.00.00","AF",1
329,"A","26/10/1984, 00.00.00","JF",1
330,"A","26/10/1984, 00.00.00","BB",2
331,"A","12/11/1984, 00.00.00","AM",3
332,"A","12/11/1984, 00.00.00","AF",1
333,"A","12/11/1984, 00.00.00","JM",1
334,"A","12/11/1984, 00.00.00","JF",2
335,"A","12/11/1984, 00.00.00","BB",5
336,"A","12/11/1984, 00.00.00","JX",3
337,"A","20/11/1984, 00.00.00","AM",5
338,"A","20/11/1984, 00.00.00","AF",4
339,"A","20/11/1984, 00.00.00","JM",1
340,"A","20/11/1984, 00.00.00","BB",2
341,"A","20/11/1984, 00.00.00","JX",3
342,"A","04/12/1984, 00.00.00","AM",4
343,"A","04/12/1984, 00.00.00","AF",6
344,"A","04/12/1984, 00.00.00","JM",3
345,"A","04/12/1984, 00.00.00","JF",1
346,"A","04/12/1984, 00.00.00","BB",3
347,"A","04/12/1984, 00.00.00","JX",1
348,"A","15/12/1984, 00.00.00","AM",1
349,"A","15/12/1984, 00.00.00","AF",3
350,"A","15/12/1984, 00.00.00","JM",1
351,"A","15/12/1984, 00.00.00","BB",3
352,"A","15/12/1984, 00.00.00","JX",2
353,"A","03/01/1985, 00.00.00","AM",4
354,"A","03/01/1985, 00.00.00","AF",1
355,"A","03/01/1985, 00.00.00","JF",1
356,"A","03/01/1985, 00.00.00","BB",5
357,"A","03/01/1985, 00.00.00","JX",2
358,"A","17/01/1985, 00.00.00","AM",1
359,"A","17/01/1985, 00.00.00","AF",1
360,"A","17/01/1985, 00.00.00","JM",4
361,"A","17/01/1985, 00.00.00","JF",1
362,"A","17/01/1985, 00.00.00","BB",1
363,"A","17/01/1985, 00.00.00","JX",1
364,"A","23/01/1985, 00.00.00","AM",2
365,"A","23/01/1985, 00.00.00","AF",3
366,"A","23/01/1985, 00.00.00","JF",1
367,"A","23/01/1985, 00.00.00","BB",4
368,"A","15/02/1985, 00.00.00","AM",3
369,"A","15/02/1985, 00.00.00","AF",2
370,"A","15/02/1985, 00.00.00","JM",2
371,"A","15/02/1985, 00.00.00","JF",1
372,"A","15/02/1985, 00.00.00","BB",3
373,"A","22/02/1985, 00.00.00","AM",4
374,"A","22/02/1985, 00.00.00","AF",5
375,"A","22/02/1985, 00.00.00","JF",1
376,"A","22/02/1985, 00.00.00","BB",4
377,"A","22/02/1985, 00.00.00","JX",2
378,"A","08/03/1985, 00.00.00","AM",3
379,"A","08/03/1985, 00.00.00","AF",3
380,"A","08/03/1985, 00.00.00","JM",1
381,"A","08/03/1985, 00.00.00","JF",1
382,"A","08/03/1985, 00.00.00","BB",4
383,"A","08/03/1985, 00.00.00","JX",1
384,"A","15/03/1985, 00.00.00","AM",2
385,"A","15/03/1985, 00.00.00","AF",2
386,"A","15/03/1985, 00.00.00","JM",1
387,"A","15/03/1985, 00.00.00","JF",1
388,"A","15/03/1985, 00.00.00","BB",4
389,"A","26/03/1985, 00.00.00","AM",1
390,"A","26/03/1985, 00.00.00","AF",4
391,"A","26/03/1985, 00.00.00","JM",2
392,"A","26/03/1985, 00.00.00","JF",2
393,"A","26/03/1985, 00.00.00","BB",2
394,"A","03/04/1985, 00.00.00","AM",3
395,"A","03/04/1985, 00.00.00","AF",2
396,"A","03/04/1985, 00.00.00","JM",3
397,"A","03/04/1985, 00.00.00","JF",1
398,"A","03/04/1985, 00.00.00","BB",1
399,"A","17/04/1985, 00.00.00","AM",2
400,"A","17/04/1985, 00.00.00","AF",4
401,"A","17/04/1985, 00.00.00","JM",2
402,"A","17/04/1985, 00.00.00","BB",1
403,"A","17/04/1985, 00.00.00","JX",2
404,"A","26/04/1985, 00.00.00","AM",6
405,"A","26/04/1985, 00.00.00","AF",2
406,"A","26/04/1985, 00.00.00","JM",2
407,"A","26/04/1985, 00.00.00","JF",1
408,"A","25/09/1985, 00.00.00","AF",4
409,"A","25/09/1985, 00.00.00","JF",2
410,"A","25/09/1985, 00.00.00","BB",2
411,"A","25/09/1985, 00.00.00","JX",2
412,"A","08/10/1985, 00.00.00","AM",1
413,"A","08/10/1985, 00.00.00","AF",2
414,"A","08/10/1985, 00.00.00","JM",1
415,"A","08/10/1985, 00.00.00","BB",3
416,"A","08/10/1985, 00.00.00","JX",3
417,"A","15/10/1985, 00.00.00","AM",3
418,"A","15/10/1985, 00.00.00","AF",3
419,"A","15/10/1985, 00.00.00","BB",4
420,"A","15/10/1985, 00.00.00","JX",1
421,"A","22/11/1985, 00.00.00","AM",3
422,"A","22/11/1985, 00.00.00","AF",1
423,"A","22/11/1985, 00.00.00","JM",1
424,"A","22/11/1985, 00.00.00","BB",6
425,"A","22/11/1985, 00.00.00","JX",1
426,"A","06/12/1985, 00.00.00","AM",7
427,"A","06/12/1985, 00.00.00","AF",5
428,"A","06/12/1985, 00.00.00","BB",7
429,"A","16/12/1985, 00.00.00","AM",7
430,"A","16/12/1985, 00.00.00","AF",3
431,"A","16/12/1985, 00.00.00","BB",2
432,"A","16/12/1985, 00.00.00","JX",2
