"CarcassID","StudyArea","Site","CatchYear","CatchMonth","Species","Sex","Age","Weight","BodyLength","TailLen","HindFootLen","BreedCond","Pregnant","Nipples","AnoGenDist","TestLen","TestWidth","TestWt","OvaryOviductWt","Nembryos","DryWt","LeanDryWt"
24,"M",3,1986,10,"3","M","A",21.9,121,29,161,"1",0,,10.9,4,2.6,0.036,,,6.35,5.46
25,"M",3,1986,10,"3","F","A",18,112,24,147,"3",0,"1",8.1,,,,,,4.77,4.26
26,"M",3,1986,10,"3","F","A",19.4,119,24,166,"3",0,"1",6.6,,,,,4,6.07,4.45
27,"M",3,1986,10,"3","F","A",18.7,122,27,172,"3",0,"1",5.8,,,,,,5.38,4.49
28,"M",3,1986,10,"3","M","A",18.7,115,27,146,"1",0,,8.6,3.5,1.5,0.009,,,4.9,4.51
29,"M",3,1986,10,"3","M","A",18.3,113,25,142,"1",0,,9.4,3,1.9,0.012,,,5.05,4.42
30,"M",3,1986,10,"3","F","A",28.4,131,28,166,"4",1,"2",7.1,,,,0.017,4,7.18,6.17
31,"M",3,1986,10,"3","M","A",18.2,120,28,158,"1",0,,8.8,3.1,1.3,0.011,,,5.73,4.67
32,"M",3,1986,10,"3","F","J",13.2,102,20,148,"3",0,"1",4.5,,,,,,3.23,2.9
33,"M",3,1986,10,"3","F","A",19.5,116,25,154,"3",0,"1",6,,,,,,5.67,4.74
34,"M",3,1986,10,"7","F","A",8.7,112,40,128,"3",0,"1",,,,,,,,
35,"A",18,1986,10,"3","M","A",26.2,131,27,156,"2",0,,14.3,8.2,5.9,0.271,,,7.43,6.43
36,"A",18,1986,10,"3","F","A",22.5,124,28,152,"4",0,"2",7.2,,,,0.127,,5.93,5.34
37,"A",18,1986,10,"3","M","A",33.3,141,34,165,"2",0,,19.2,9.7,5.4,0.294,,,8.96,7.78
38,"A",18,1986,10,"3","M","A",18.7,114,25,156,"1",0,,12.7,8.8,4.6,0.225,,,5.14,4.51
39,"A",18,1986,10,"3","M","A",15.4,112,24,153,"1",0,,8.5,4.6,2.9,0.037,,,4.19,3.66
40,"A",18,1986,10,"4","M","A",14.9,123,41,151,"1",0,,7.4,3.5,1.7,0.016,,,4.24,3.53
41,"A",18,1986,10,"4","M","A",13.8,118,39,150,"1",0,,8.1,4.5,2,0.015,,,4.1,3.28
42,"A",18,1986,10,"4","F","A",15.9,119,38,157,"3",0,"1",5.4,,,,,,4.28,3.6
43,"A",18,1986,10,"4","M","A",16.7,123,40,167,"1",0,,9.4,2.7,1.2,0.007,,,4.36,3.82
44,"A",18,1986,10,"4","F","A",13.6,117,38,160,"4",0,"1",5.5,,,,,,3.51,3.04
45,"A",18,1986,10,"1","F","A",17.1,165,86,196,"4",0,"2",6.4,,,,0.136,,4.88,4.04
46,"A",18,1986,10,"1","F","J",11.7,142,70,201,"3",0,"1",5.4,,,,,,3.16,2.52
47,"A",18,1986,10,"1","M","J",8,123,59,197,"1",0,,10.1,4.5,2.1,0.03,,,2.35,2.04
48,"A",18,1986,10,"1","M","A",12.6,139,71,196,"1",0,,9.6,4.7,1.9,0.029,,,3.46,2.76
49,"A",18,1986,10,"7","F","A",9.5,118,34,148,"3",0,"1",4.2,,,,,,,
50,"A",17,1986,10,"4","F","A",32.7,139,35,172,"4",1,"2",7.5,,,,0.188,5,8.63,7.21
51,"A",17,1986,10,"4","F","A",42.1,150,39,177,"4",1,"2",9.3,,,,7.62,6,9.27,7.94
52,"A",17,1986,10,"3","M","A",30.8,136,31,161,"2",0,,14,9.2,6,0.342,,,8.15,7.3
